,Comment,pru,npru
214,pai perguntando twitter bom facil fazer pai twitter saco,0,1
1131,fazer twitter entrar,0,1
704,usar twitter bloco notas,1,0
1840,vir pro twitter falar sozinha wpp,1,0
173,bom dia bem dias entrando twitter celular ruim,0,1
463,olha toda twitter ficar assim devia ter todo dia,1,0
260,nada mal tempo todo fazer tweets,0,1
1942,vontade louca dar twitter mudar nome mudar foto mudar,1,0
654,final,0,1
1599,twitter viver,1,0
92,twitter lindo abandonado,1,0
918,twitter tweet,1,0
906,menor fica deve ser maior ver posta twitter ficar,0,1
1362,rede social twitter mal entrei aqui net,1,0
852,atualizar direto fica,1,0
1652,legal twitter galera gosta tanto menos alguns,1,0
117,ta acabei tava tudo errado twitter ruim,1,0
436,conseguir compartilhar tweets dm assim venho twitter fazer,1,0
82,ver tweets,0,1
118,pessoa deve acho twitter bom,1,0
1330,twitter facebook pro facebook,1,0
327,tweets,0,1
1709,sei twitter,1,0
872,vamo todo mundo twitter fazer ver quanto tempo cai site,0,1
1620,twitter bloquear,1,0
1376,deus oq ta acontecendo vida triste entrando twitter,1,0
382,boa noite algum bem mim chegar tweets coisas ser rs,0,1
441,bem sinto tweets bom,0,1
1011,twitter ficar twitter,0,1
980,tudo seguidores follow antes twitter fazer,0,1
33,oi fiz twitter novo dizer,1,0
1139,twitter porque consigo fazer amigos segue todos volta,1,0
923,twitter ta perfil,1,0
619,bom dia tt viu tudo fazer,0,1
1332,gosto twitter porque pessoas mesma,1,0
501,cada venho twitter ver algo legal,1,0
408,tweets ver tava bem mal percebi,0,1
22,criar twitter novo tudo,1,0
890,postar foto rede social gosto twitter sei usar outras,1,0
1875,feliz twitter ter normal,1,0
1643,odeio pessoas ficam falar twitter chat face,1,0
248,twitter querido gosto,1,0
1047,queria dizer linda cria canal youtube porque aguento vim twitter ver,0,1
768,twitter bom,1,0
670,twitter rede,1,0
1295,tanto twitter falar disso agr bb,0,1
572,gostava twitter merda,1,0
499,oi desculpa incomodo pode dar aqui importante msm ingnora favor,0,1
934,acabei dar pro twitter fazer alguma coisa saber oq agora,1,0
311,twitter triste,1,0
682,alguma coisa acontecendo twitter,1,0
380,ir twitter ver,1,0
1268,ta chegando twitter aqui saco,1,0
990,melhor tudo vim twitter ver povo,0,1
669,linda twitter entrar perfil deixa pessoas adoro,0,1
520,twitter ficar audio,1,0
1179,olha fez twitter fazer,0,1
417,veio falar comigo tweets falo oi tudo bem,0,1
998,twitter poder ser melhor lugar bbb tempo lugar tudo,0,1
1713,sinto twitter rede social fds onde todos amigos lugar,1,0
297,tweets,0,1
716,vim aqui twitter ver tava,0,1
435,vi tweets ainda bem,0,1
1958,gostei desse pro uso twitter ter,1,0
