,Comment
0,"pensar tweets legais facil"
1,"ganhar linda"
2,"tweets coisas"
3,"trancar tweets quero ver trancar"
4,"olha tweets"
5,"tweets dia"
6,"tweets"
7,"quanto tweets seguidores nova"
8,"tweets"
9,"tweets pessoas sao"
10,"meninas sala tweets lindas"
11,"ajudar amiga entrar gente manda muitos tweets dai chance"
12,"acho boa tweets menos semanas"
13,"bem novos followers"
14,"ainda bem ia colocar followers"
15,"perdi followers desde seguir volta twitter deixa passar bem"
16,"poucos tweets anos twitter poucos menos fc"
17,"following putaria qualquer jesus"
18,"assistir following tudo ser"
19,"following"
20,"ver following"
21,"hoje assistir following tao dormir"
22,"unfollow outros followers following"
23,"ruim ficar conversando indiretas tweets"
24,"pouco colocar tag todos tweets la justin"
25,"daqui pouco chego tweets"
26,"pouco lendo tweets novela"
27,"tweets assim fica pouco merda"
28,"hora tweets ainda pouco pode meio tirar"
29,"tweets pouco"
30,"tweets pouco"
31,"falta pouco mil tweets"
32,"sim tweets percebi aguenta ontem ai agora pouco responder"
33,"twitter fazer mil tweets ta falo pouco"
34,"real quero logo tweets pouco"
35,"real quero logo tweets pouco"
36,"sigam tweets ver parece estar pouco"
37,"sigam tweets ver parece estar pouco"
38,"daqui pouco chego tweets ai"
39,"daqui pouco tweets ser tudo amo odeio gosto site"
40,"quase tweets falta pouco"
41,"mano ta tweets assim daqui pouco ta poder postar aqui"
42,"agora pouco tava tweets agora hein vida"
43,"lendo tweets pouco merda"
44,"tweets falo pouco"
45,"quase tweets pouco"
46,"falta pouco mil tweets"
47,"mandando tweets justin pouco errado amo kkk"
48,"pouco tweets"
49,"gente ta aqui anos mil tweets aqui ano pouco mil"
50,"pouco saco ler tweets"
51,"cara ainda mil tweets pouco outro twitter"
52,"fiz tweets antes dormir sobre pouco ta bem"
53,"quase mil tweets daqui pouco rsrs"
54,"tweets pouco"
55,"olha daqui pouco tweets pouco ta bom"
56,"daqui pouco tweets"
57,"daqui pouco tweets dia"
58,"falo pouco gente tweets"
59,"tweets dia fc falo pouco"
60,"mil tweets pouco cara"
61,"ontem noite fiquei tweets duas vezes segunda falei pouco pouco tempo acho twitter"
62,"deus tweets pouco horas"
63,"mil tweets daqui pouco"
64,"poucos usar twitter pouco tweets"
65,"vontade tweets todo mundo acho pouco acho"
66,"gente tweets hoje hoje kkkkkkkkk"
67,"tweets assim chato quase toda"
68,"percebi tweets algo"
