,Comment
0,"foto ter aqui acho twitter legal"
1,"twitter legal"
2,"fiz twitter novo user antigo dando erro"
3,"bom twitter novo"
4,"twitter chato ultimamente povo fala sobre aqui olha gosto falar sobre"
5,"porra trocar celular ter fazer twitter novo"
6,"odeio errar tweet twitter maldito nunca editar tweet"
7,"vezes fico pouco alheia twitter bom dia"
8,"entrei twitter feliz vejo tag quer saber todo"
9,"fazer twitter novo facil"
10,"querido sei mal editar tweets problemas"
11,"twitter louco apareceu foto outra"
12,"fazer twitter novo merda"
13,"ai twitter chato"
14,"twitter triste"
15,"sentindo twitter novo"
16,"twitter novo agora sim site ficar"
17,"twitter lindo gif amei parece ser legal"
18,"criei twitter novo coisas posso falar outro gente segue"
19,"agora criei twitter novo chegando seguindo todo mundo vejo"
20,"twitter novo outro mundo"
21,"maldito twitter maldito twitter maldito twitter"
22,"criar twitter novo tudo"
23,"preciso twitter legal seguir"
24,"faz twitter novo"
25,"user bom twitter ruim"
26,"twitter chato demais credo"
27,"ter twitter novo coisa bem sinto melhor vo fica aqui conta ninguem facebook ta conta nova"
28,"dei twitter triste"
29,"twitter louco tal"
30,"twitter"
31,"consegui parar seguir pessoal fiz twitter novo"
32,"bosta twitter novo"
33,"oi fiz twitter novo dizer"
34,"twitter novo outro funcionar"
35,"gente twitter novo eh gostei"
36,"finalmente senha twitter"
37,"outra conta ficou toda estar criar twitter novo"
38,"saudades wifi saudades twitter lindo"
39,"kkkkkk sim twitter chato vc faz"
40,"puta desse twitter lento"
41,"twitter lindo"
42,"pessoas ver sigo twitter mds twitter legal"
43,"gente criei twitter novo poder usar hahaha"
44,"pessoa gosto uso twitter bom mim"
45,"quero twitter bom msm nesse"
46,"saudades twitter querido"
47,"fazer twitter novo"
48,"twitter lindo msg feliz"
49,"consigo usar twitter direto"
50,"triste ter fazer twitter novo"
51,"sdds twitter legal madrugada"
52,"ai amo twitter oi twitter saudade twitter bom ver twitter"
53,"facebook twitter"
54,"ter fazer twitter novo vsf"
55,"twitter bom saudades melhor tudo mato"
56,"twitter louco"
57,"oi twitter bom ver"
58,"twitter novo dei fiz amo aqui"
59,"twitter novo demais"
60,"aguento twitter lento assim parar usar"
61,"triste twitter maldito coisas"
62,"estranho anos fazer twitter novo"
63,"ah twitter chato"
64,"consegui criar twitter novo tentando trocar senha real consigo tipo coisa"
65,"finalmente twitter querido"
66,"pessoas conta perdi twitter novo"
67,"minutos twitter"
68,"fazer twitter novo legal ainda usa"
69,"melhor criar twitter novo poder tipo mt boa"
70,"twitter novo merda"
71,"bom twitter novo"
72,"fazer twitter novo pessoas daqui"
73,"twitter querido twitter"
74,"twitter novo ruim antigo seguidores novo kkkkkk"
75,"twitter lindo"
76,"acho modo noturno twitter lindo demais merda usar fico toda confusa"
77,"nada quanto criar twitter novo pensando melhor ta bom assim"
